prefecture_order,prefecture,source_url,source_filename,bytes,sha256,pages,pdftotext_exit,text_bytes,candidate_phrase_hits
1,北海道,https://www.mlit.go.jp/common/001125397.pdf,001125397.pdf,2871991,4afd2c671db52ef13908849ed3f8a78768c3c5127fc974660359afa6d22a1c83,59,0,59,0
2,青森,https://www.mlit.go.jp/common/001125414.pdf,001125414.pdf,1772912,9255e480e25c49ebaba4a96a75ae915a967d3d2cdb38296268e17cb225cb0c24,37,0,37,0
3,岩手,https://www.mlit.go.jp/common/001125416.pdf,001125416.pdf,2084304,d3c6050366aafa06b8cd4724b349b826e7980ee64f4e750dbbc3d59a76e5a293,43,0,43,0
4,宮城,https://www.mlit.go.jp/common/001125418.pdf,001125418.pdf,1961116,14cde66e8daaa848c2325a81a57e2d2aa7fa64aa5b2d4bd789581bb65b64051d,43,0,43,0
5,秋田,https://www.mlit.go.jp/common/001125420.pdf,001125420.pdf,1885962,e032a1525e9d7e70c5c96770c22cad662678a00698acc63616c4f4f8eaa9f731,38,0,38,0
6,山形,https://www.mlit.go.jp/common/001125433.pdf,001125433.pdf,2125042,33843f7bf1434afe18158b8c4825ae0d07742fc63b795bd50a19a7b5faa5e69a,44,0,44,0
7,福島,https://www.mlit.go.jp/common/001125435.pdf,001125435.pdf,1869458,d7bd362120f40b16919dcc6280127932695e4f43587be3c10333e0528a0fc39c,38,0,38,0
8,茨城,https://www.mlit.go.jp/common/001125441.pdf,001125441.pdf,2086682,c0cda30aa477e0a58408f8ddccb43824f2a5e953cefb9336f02caa9f0fa985a5,43,0,43,0
9,栃木,https://www.mlit.go.jp/common/001125445.pdf,001125445.pdf,1287526,751daa24846086c6e5aab4bf7eabd70528308ba9323cb59d9a1545f72757045d,35,0,35,0
10,群馬,https://www.mlit.go.jp/common/001125449.pdf,001125449.pdf,1249597,7d7c91fbb0ca8507f80c5ed794b1d8e6d6e942d22f05c4e4c3c2d3b34b6280fe,31,0,31,0
11,埼玉,https://www.mlit.go.jp/common/001125451.pdf,001125451.pdf,1712900,edf3cd2ba39da6624a8befe3a22ba71a8dd0299c295c20f78fcb30dac574b28b,38,0,38,0
12,千葉,https://www.mlit.go.jp/common/001125455.pdf,001125455.pdf,2309174,9e820686fef5067176515810f2753cea51e1ba7b9a1eef83675631503894e7b3,46,0,46,0
13,東京,https://www.mlit.go.jp/common/001125459.pdf,001125459.pdf,2838129,cb03805d2d31b1c5933d6c3cb32e8bfcd80c8b8cc5d6a9a9fd75c0bcbe74490e,60,0,60,0
14,神奈川,https://www.mlit.go.jp/common/001125677.pdf,001125677.pdf,2467851,e470a575b0da37eedb59af3e59aedaa65cad303788f21be61ae5e16d81b1fe33,54,0,54,0
15,新潟,https://www.mlit.go.jp/common/001125464.pdf,001125464.pdf,2342740,fc74340cbce73f9e21ce43720c5cb64caef20af67cae1ade9f7af1eaa3a5543b,49,0,49,0
16,富山,https://www.mlit.go.jp/common/001125495.pdf,001125495.pdf,2012300,6bd1e2ee608e7a018888f6dec34798b8666bc172c46a98851b5d7277aefe5668,39,0,39,0
17,石川,https://www.mlit.go.jp/common/001125496.pdf,001125496.pdf,1708303,64bd9d318ae5b1fb0f37507ec1d257cf8084224aa0b5b388699f7a7e96395f0f,37,0,37,0
18,福井,https://www.mlit.go.jp/common/001125540.pdf,001125540.pdf,1304800,5241fdb6679abe5ea5c57a816044ee3c43d5c68a485b8f187c892431aab2516c,30,0,30,0
19,山梨,https://www.mlit.go.jp/common/001125471.pdf,001125471.pdf,1009085,f575dcd4d49464ffc5e1f0d1861556d80878bd0bb5fb502d9bdd9c1201eaceac,25,0,25,0
20,長野,https://www.mlit.go.jp/common/001125492.pdf,001125492.pdf,1935068,40000a452fbcb83183dc2ff540dd6a154d38b6f6ef607dca9d717fcb57b95280,38,0,38,0
21,岐阜,https://www.mlit.go.jp/common/001125577.pdf,001125577.pdf,1603720,395451d3e2120942a30d5057c59930fc293721d6cc7b5aa1b28c5b19f4ba9891,33,0,33,0
22,静岡,https://www.mlit.go.jp/common/001125579.pdf,001125579.pdf,3078360,81392794c0c35880e6f446dbca97c3792326bca23a0098475649bc53086c8fba,60,0,60,0
23,愛知,https://www.mlit.go.jp/common/001125536.pdf,001125536.pdf,3038547,467a43ffe533feb244147ab525473191c589de8a4cc9c6ba6c4b26ccd21b42a9,60,0,60,0
24,三重,https://www.mlit.go.jp/common/001125539.pdf,001125539.pdf,1722496,2f27149aba5a0fb7a991620daa46bce03c6d905ff2110dae654ebe8b8436ae60,35,0,35,0
25,滋賀,https://www.mlit.go.jp/common/001125541.pdf,001125541.pdf,1212198,2c3010fe53b47059b84e56325549288f2f146504d210a47d5d5271912f7fbc32,29,0,29,0
26,京都,https://www.mlit.go.jp/common/001125542.pdf,001125542.pdf,1886227,82eedcd097071700d196096dc4d274dc60c5d3c6f8d8714b4b84793f1ffc6dad,42,0,42,0
27,大阪,https://www.mlit.go.jp/common/001125544.pdf,001125544.pdf,2848168,45d9acc21aea6de7ed4bb4c5c72f33bbe60ec899a98222d5c63d4e6188ce639c,57,0,57,0
28,兵庫,https://www.mlit.go.jp/common/001125546.pdf,001125546.pdf,2629347,36e1a6d6031ec7f3626141d3c5dc75623e3237a1947c557c20b5a3a84b721d08,51,0,51,0
29,奈良,https://www.mlit.go.jp/common/001125550.pdf,001125550.pdf,1199146,dcb835dd95704348aa4ea6ebcd0db97f356ba1e90138507fd3934f35144b26d8,29,0,29,0
30,和歌山,https://www.mlit.go.jp/common/001125551.pdf,001125551.pdf,1895313,99865d55fe8d957f37b2b6bab23535ca1694e0a534b50fe0d94446ff4967f092,40,0,40,0
31,鳥取,https://www.mlit.go.jp/common/001125555.pdf,001125555.pdf,1607665,8a19a72566a7c812e1c4cc17bebdbdd2cb44073ddd1fc09eea4b0187d55262f5,33,0,33,0
32,島根,https://www.mlit.go.jp/common/001125556.pdf,001125556.pdf,1658862,a41805452bf698f9278fe5f6c0e064d1b95b3cc464965adb2647cb12c5df1c3b,36,0,36,0
33,岡山,https://www.mlit.go.jp/common/001125557.pdf,001125557.pdf,1793867,782759438aea2a9d2d9e008d6e344437fa39e75c7416c9194155e2fd1252ded2,36,0,36,0
34,広島,https://www.mlit.go.jp/common/001125558.pdf,001125558.pdf,2100728,3c88ef02b9dba0e2a0217da54aaf3b16a7bbd0f2072749bd563ef8b3519de811,43,0,43,0
35,山口,https://www.mlit.go.jp/common/001125559.pdf,001125559.pdf,1548908,b3296aa432991dc147293c0ef2b084ffc944e92308e926fc9fdd40dee1012779,34,0,34,0
36,徳島,https://www.mlit.go.jp/common/001125562.pdf,001125562.pdf,1700176,2f74ad15ca8954c784923338f560152062fc5a001cd098a2058881594459c8ca,38,0,38,0
37,香川,https://www.mlit.go.jp/common/001125563.pdf,001125563.pdf,1534525,0ae18e4c101a4f64ef7dd22d341892753c1932dd06596aab54a207a7cf13cfb0,34,0,34,0
38,愛媛,https://www.mlit.go.jp/common/001125564.pdf,001125564.pdf,1890238,97628291b4d18c9f5e88266cb531c7c39205ed117b45e0453fb1647d3a77d88b,39,0,39,0
39,高知,https://www.mlit.go.jp/common/001125565.pdf,001125565.pdf,1993452,6d840481556165b4ef4d9df5a78635c8dec44bbaf682dd696d5812f136d9f10b,41,0,41,0
40,福岡,https://www.mlit.go.jp/common/001125566.pdf,001125566.pdf,2467734,64b1926ee5d34619e7044062c7443d9669926b46ccb53feeb8798b028dc6f5f2,52,0,52,0
41,佐賀,https://www.mlit.go.jp/common/001125567.pdf,001125567.pdf,1616260,f3a195541aeaa5787fdead068b30ae96196e62f8f3b41c03a8bff910b6d64009,35,0,35,0
42,長崎,https://www.mlit.go.jp/common/001125568.pdf,001125568.pdf,1638416,024e5d58f62a7b67e5fd144c346dec4e055dd2fe39a47216fba4ff7777909c3c,34,0,34,0
43,熊本,https://www.mlit.go.jp/common/001125569.pdf,001125569.pdf,1940029,122fc38f44834e2350a29da1a6c97265c4a00570b7c80531854b7a69a9dfbcb2,41,0,41,0
44,大分,https://www.mlit.go.jp/common/001125572.pdf,001125572.pdf,1693972,b662b1bb7b47f5a9ffcd180aec036b1a3ec41a7c9e8cc6abf6feba4a2b45c79b,36,0,36,0
45,宮崎,https://www.mlit.go.jp/common/001125573.pdf,001125573.pdf,1743216,34c80cd7be36a9cff2b8136a7c51bc91524214791c012d029511e2b949466827,34,0,34,0
46,鹿児島,https://www.mlit.go.jp/common/001125574.pdf,001125574.pdf,1960745,8358c55671cbcc12b72045aa5a3bb78861d9b2ad09241ba6e249bd8bcde12743,39,0,39,0
